symboling,normalized-losses,fuel-type,aspiration,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,hardtop,wagon,sedan,hatchback,convertible,4wd,fwd,rwd,dohc,dohcv,l,ohc,ohcf,ohcv,rotor,1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi
0,188,1,0,1,0,101.20,176.80,64.80,54.30,2765,6,164,3.31,3.19,9.00,121,4250,21,28,21105,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,122.0,1,0,1,0,103.50,189.00,66.90,55.70,3055,6,164,3.31,3.19,9.00,121,4250,20,25,24565,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,122.0,1,0,1,0,103.50,189.00,66.90,55.70,3230,6,209,3.62,3.39,8.00,182,5400,16,22,30760,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,122.0,1,0,0,0,103.50,193.80,67.90,53.70,3380,6,209,3.62,3.39,8.00,182,5400,16,22,41315,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,122.0,1,0,1,0,110.00,197.00,70.90,56.30,3505,6,209,3.62,3.39,8.00,182,5400,15,20,36880,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,121,1,0,0,0,88.40,141.10,60.30,53.20,1488,3,61,2.91,3.03,9.50,48,5100,47,53,5151,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,98,1,0,0,0,94.50,155.90,63.60,52.00,1874,4,90,3.03,3.11,9.60,70,5400,38,43,6295,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,81,1,0,1,0,94.50,158.80,63.60,52.00,1909,4,90,3.03,3.11,9.60,70,5400,38,43,6575,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,118,1,0,0,0,93.70,157.30,63.80,50.80,1876,4,90,2.97,3.23,9.41,68,5500,37,41,5572,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,118,1,0,0,0,93.70,157.30,63.80,50.80,1876,4,90,2.97,3.23,9.40,68,5500,31,38,6377,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,118,1,1,0,0,93.70,157.30,63.80,50.80,2128,4,98,3.03,3.39,7.60,102,5500,24,30,7957,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,148,1,0,1,0,93.70,157.30,63.80,50.60,1967,4,90,2.97,3.23,9.40,68,5500,31,38,6229,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,148,1,0,1,0,93.70,157.30,63.80,50.60,1989,4,90,2.97,3.23,9.40,68,5500,31,38,6692,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,148,1,0,1,0,93.70,157.30,63.80,50.60,1989,4,90,2.97,3.23,9.40,68,5500,31,38,7609,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,148,1,1,1,0,93.70,157.30,63.80,50.60,2191,4,98,3.03,3.39,7.60,102,5500,24,30,8558,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-1,110,1,0,1,0,103.30,174.60,64.60,59.80,2535,4,122,3.34,3.46,8.50,88,5000,24,30,8921,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,145,1,1,0,0,95.90,173.20,66.30,50.20,2811,4,156,3.60,3.90,7.00,145,5000,19,24,12964,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,137,1,0,0,0,86.60,144.60,63.90,50.80,1713,4,92,2.91,3.41,9.60,58,4800,49,54,6479,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,137,1,0,0,0,86.60,144.60,63.90,50.80,1819,4,92,2.91,3.41,9.20,76,6000,31,38,6855,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,101,1,0,0,0,93.70,150.00,64.00,52.60,1837,4,79,2.91,3.07,10.10,60,5500,38,42,5399,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,101,1,0,0,0,93.70,150.00,64.00,52.60,1940,4,92,2.91,3.41,9.20,76,6000,30,34,6529,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,101,1,0,0,0,93.70,150.00,64.00,52.60,1956,4,92,2.91,3.41,9.20,76,6000,30,34,7129,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,110,1,0,1,0,96.50,163.40,64.00,54.50,2010,4,92,2.91,3.41,9.20,76,6000,30,34,7295,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,78,1,0,1,0,96.50,157.10,63.90,58.30,2024,4,92,2.92,3.41,9.20,76,6000,30,34,7295,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,106,1,0,0,0,96.50,167.50,65.20,53.30,2236,4,110,3.15,3.58,9.00,86,5800,27,33,7895,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,106,1,0,0,0,96.50,167.50,65.20,53.30,2289,4,110,3.15,3.58,9.00,86,5800,27,33,9095,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,85,1,0,1,0,96.50,175.40,65.20,54.10,2304,4,110,3.15,3.58,9.00,86,5800,27,33,8845,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,85,1,0,1,0,96.50,175.40,62.50,54.10,2372,4,110,3.15,3.58,9.00,86,5800,27,33,10295,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,85,1,0,1,0,96.50,175.40,65.20,54.10,2465,4,110,3.15,3.58,9.00,101,5800,24,28,12945,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,107,1,0,0,0,96.50,169.10,66.00,51.00,2293,4,110,3.15,3.58,9.10,100,5500,25,31,10345,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,122.0,1,0,1,0,94.30,170.70,61.80,53.50,2337,4,111,3.31,3.23,8.50,78,4800,24,29,6785,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,122.0,1,0,0,0,94.50,155.90,63.60,52.00,1874,4,90,3.03,3.11,9.60,70,5400,38,43,13207.13,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,122.0,1,0,1,0,94.50,155.90,63.60,52.00,1909,4,90,3.03,3.11,9.60,70,5400,38,43,13207.13,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,122.0,1,0,0,0,96.00,172.60,65.20,51.40,2734,4,119,3.43,3.23,9.20,90,5000,24,29,11048,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,145,1,0,1,0,113.00,199.60,69.60,52.80,4066,6,258,3.63,4.17,8.10,176,4750,15,19,32250,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,122.0,1,0,1,0,113.00,199.60,69.60,52.80,4066,6,258,3.63,4.17,8.10,176,4750,15,19,35550,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,122.0,1,0,0,0,102.00,191.70,70.60,47.80,3950,12,326,3.54,2.76,11.50,262,5000,13,17,36000,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,104,1,0,0,0,93.10,159.10,64.20,54.10,1890,4,91,3.03,3.15,9.00,68,5000,30,31,5195,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,104,1,0,0,0,93.10,159.10,64.20,54.10,1900,4,91,3.03,3.15,9.00,68,5000,31,38,6095,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,104,1,0,0,0,93.10,159.10,64.20,54.10,1905,4,91,3.03,3.15,9.00,68,5000,31,38,6795,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,113,1,0,1,0,93.10,166.80,64.20,54.10,1945,4,91,3.03,3.15,9.00,68,5000,31,38,6695,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,113,1,0,1,0,93.10,166.80,64.20,54.10,1950,4,91,3.08,3.15,9.00,68,5000,31,38,7395,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,150,1,0,0,0,95.30,169.00,65.70,49.60,2380,2,70,3.33,3.26,9.40,101,6000,17,23,10945,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,150,1,0,0,0,95.30,169.00,65.70,49.60,2380,2,70,3.33,3.26,9.40,101,6000,17,23,11845,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,150,1,0,0,0,95.30,169.00,65.70,49.60,2385,2,70,3.33,3.26,9.40,101,6000,17,23,13645,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,150,1,0,0,0,95.30,169.00,65.70,49.60,2500,2,80,3.33,3.26,9.40,135,6000,16,23,15645,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,129,1,0,0,0,98.80,177.80,66.50,53.70,2385,4,122,3.39,3.39,8.60,84,4800,26,32,8845,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,115,1,0,1,0,98.80,177.80,66.50,55.50,2410,4,122,3.39,3.39,8.60,84,4800,26,32,8495,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,129,1,0,0,0,98.80,177.80,66.50,53.70,2385,4,122,3.39,3.39,8.60,84,4800,26,32,10595,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,115,1,0,1,0,98.80,177.80,66.50,55.50,2410,4,122,3.39,3.39,8.60,84,4800,26,32,10245,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,122.0,0,0,1,0,98.80,177.80,66.50,55.50,2443,4,122,3.39,3.39,22.70,64,4650,36,42,10795,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,115,1,0,1,0,98.80,177.80,66.50,55.50,2425,4,122,3.39,3.39,8.60,84,4800,26,32,11245,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,118,1,0,1,0,104.90,175.00,66.10,54.40,2670,4,140,3.76,3.16,8.00,120,5000,19,27,18280,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,122.0,0,0,1,0,104.90,175.00,66.10,54.40,2700,4,134,3.43,3.64,22.00,72,4200,31,39,18344,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-1,93,0,1,1,0,110.00,190.90,70.30,56.50,3515,5,183,3.58,3.64,21.50,123,4350,22,25,25552,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-1,93,0,1,1,0,110.00,190.90,70.30,58.70,3750,5,183,3.58,3.64,21.50,123,4350,22,25,28248,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,93,0,1,0,0,106.70,187.50,70.30,54.90,3495,5,183,3.58,3.64,21.50,123,4350,22,25,28176,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-1,93,0,1,1,0,115.60,202.60,71.70,56.30,3770,5,183,3.58,3.64,21.50,123,4350,22,25,31600,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-1,122.0,1,0,1,0,115.60,202.60,71.70,56.50,3740,8,234,3.46,3.10,8.30,155,4750,16,18,34184,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,142,1,0,0,0,96.60,180.30,70.50,50.80,3685,8,234,3.46,3.10,8.30,155,4750,16,18,35056,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,122.0,1,0,1,0,120.90,208.10,71.70,56.70,3900,8,308,3.80,3.35,8.00,184,4500,14,16,40960,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,122.0,1,0,0,0,112.00,199.20,72.00,55.40,3715,8,304,3.80,3.35,8.00,184,4500,14,16,45400,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,122.0,1,1,0,0,102.70,178.40,68.00,54.80,2910,4,140,3.78,3.12,8.00,175,5000,19,24,16503,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,161,1,0,0,0,93.70,157.30,64.40,50.80,1918,4,92,2.97,3.23,9.40,68,5500,37,41,5389,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,161,1,0,0,0,93.70,157.30,64.40,50.80,1944,4,92,2.97,3.23,9.40,68,5500,31,38,6189,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,161,1,0,0,0,93.70,157.30,64.40,50.80,2004,4,92,2.97,3.23,9.40,68,5500,31,38,6669,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,161,1,1,0,0,93,157.30,63.80,50.80,2145,4,98,3.03,3.39,7.60,102,5500,24,30,7689,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,153,1,1,0,0,96.30,173.00,65.40,49.40,2370,4,110,3.17,3.46,7.50,116,5500,23,30,9959,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,153,1,0,0,0,96.30,173.00,65.40,49.40,2328,4,122,3.35,3.46,8.50,88,5000,25,32,8499,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,122.0,1,1,0,0,95.90,173.20,66.30,50.20,2833,4,156,3.58,3.86,7.00,145,5000,19,24,12629,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,122.0,1,1,0,0,95.90,173.20,66.30,50.20,2921,4,156,3.59,3.86,7.00,145,5000,19,24,14869,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,122.0,1,1,0,0,95.90,173.20,66.30,50.20,2926,4,156,3.59,3.86,7.00,145,5000,19,24,14489,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,125,1,0,1,0,96.30,172.40,65.40,51.60,2365,4,122,3.35,3.46,8.50,88,5000,25,32,6989,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,125,1,0,1,0,96.30,172.40,65.40,51.60,2405,4,122,3.35,3.46,8.50,88,5000,25,32,8189,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,125,1,1,1,0,96.30,172.40,65.40,51.60,2403,4,110,3.17,3.46,7.50,116,5500,23,30,9279,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-1,137,1,0,1,0,96.30,172.40,65.40,51.60,2403,4,110,3.17,3.46,7.50,116,5500,23,30,9279,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,128,1,0,0,0,94.50,165.30,63.80,54.50,1889,4,97,3.15,3.29,9.40,69,5200,31,37,5499,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,128,0,0,0,0,94.50,165.30,63.80,54.50,2017,4,103,2.99,3.47,21.90,55,4800,45,50,7099,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,128,1,0,0,0,94.50,165.30,63.80,54.50,1918,4,97,3.15,3.29,9.40,69,5200,31,37,6649,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,122,1,0,1,0,94.50,165.30,63.80,54.50,1938,4,97,3.15,3.29,9.40,69,5200,31,37,6849,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,103,1,0,1,0,94.50,170.20,63.80,53.50,2024,4,97,3.15,3.29,9.40,69,5200,31,37,7349,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,128,1,0,0,0,94.50,165.30,63.80,54.50,1951,4,97,3.15,3.29,9.40,69,5200,31,37,7299,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,128,1,0,0,0,94.50,165.60,63.80,53.30,2028,4,97,3.15,3.29,9.40,69,5200,31,37,7799,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,122,1,0,1,0,94.50,165.30,63.80,54.50,1971,4,97,3.15,3.29,9.40,69,5200,31,37,7499,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,103,1,0,1,0,94.50,170.20,63.80,53.50,2037,4,97,3.15,3.29,9.40,69,5200,31,37,7999,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,168,1,0,0,0,95.10,162.40,63.80,53.30,2008,4,97,3.15,3.29,9.40,69,5200,31,37,8249,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,106,1,0,1,0,97.20,173.40,65.20,54.70,2324,4,120,3.33,3.47,8.50,97,5200,27,34,8949,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,106,1,0,1,0,97.20,173.40,65.20,54.70,2302,4,120,3.33,3.47,8.50,97,5200,27,34,9549,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,128,1,0,1,0,100.40,181.70,66.50,55.10,3095,6,181,3.43,3.27,9.00,152,5200,17,22,13499,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,108,1,0,1,0,100.40,184.60,66.50,56.10,3296,6,181,3.43,3.27,9.00,152,5200,17,22,14399,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,108,1,0,1,0,100.40,184.60,66.50,55.10,3060,6,181,3.43,3.27,9.00,152,5200,19,25,13499,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,194,1,0,0,0,91.30,170.70,67.90,49.70,3071,6,181,3.43,3.27,9.00,160,5200,19,25,17199,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,194,1,1,0,0,91.30,170.70,67.90,49.70,3139,6,181,3.43,3.27,7.80,200,5200,17,23,19699,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,231,1,0,0,0,99.20,178.50,67.90,49.70,3139,6,181,3.43,3.27,9.00,160,5200,19,25,18399,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,161,1,0,1,0,107.90,186.70,68.40,56.70,3020,4,120,3.46,3.19,8.40,97,5000,19,24,11900,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,161,0,1,1,0,107.90,186.70,68.40,56.70,3197,4,152,3.70,3.52,21.00,95,4150,28,33,13200,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,122.0,1,0,1,0,114.20,198.90,68.40,58.70,3230,4,120,3.46,3.19,8.40,97,5000,19,24,12440,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,122.0,0,1,1,0,114.20,198.90,68.40,58.70,3430,4,152,3.70,3.52,21.00,95,4150,25,25,13860,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,161,1,0,1,0,107.90,186.70,68.40,56.70,3075,4,120,3.46,2.19,8.40,95,5000,19,24,15580,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,161,0,1,1,0,107.90,186.70,68.40,56.70,3252,4,152,3.70,3.52,21.00,95,4150,28,33,16900,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,122.0,1,0,1,0,114.20,198.90,68.40,56.70,3285,4,120,3.46,2.19,8.40,95,5000,19,24,16695,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,122.0,0,1,1,0,114.20,198.90,68.40,58.70,3485,4,152,3.70,3.52,21.00,95,4150,25,25,17075,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,161,1,0,1,0,107.90,186.70,68.40,56.70,3075,4,120,3.46,3.19,8.40,97,5000,19,24,16630,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,161,0,1,1,0,107.90,186.70,68.40,56.70,3252,4,152,3.70,3.52,21.00,95,4150,28,33,17950,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,161,1,1,1,0,108.00,186.70,68.30,56.00,3130,4,134,3.61,3.21,7.00,142,5600,18,24,18150,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,119,1,0,0,0,93.70,157.30,63.80,50.80,1918,4,90,2.97,3.23,9.40,68,5500,37,41,5572,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,119,1,1,0,0,93.70,157.30,63.80,50.80,2128,4,98,3.03,3.39,7.60,102,5500,24,30,7957,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,154,1,0,1,0,93.70,157.30,63.80,50.60,1967,4,90,2.97,3.23,9.40,68,5500,31,38,6229,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,154,1,0,1,0,93.70,167.30,63.80,50.80,1989,4,90,2.97,3.23,9.40,68,5500,31,38,6692,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,154,1,0,1,0,93.70,167.30,63.80,50.80,2191,4,98,2.97,3.23,9.40,68,5500,31,38,7609,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1,74,1,0,1,0,103.30,174.60,64.60,59.80,2535,4,122,3.35,3.46,8.50,88,5000,24,30,8921,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,122.0,1,1,0,0,95.90,173.20,66.30,50.20,2818,4,156,3.59,3.86,7.00,145,5000,19,24,12764,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,186,1,0,0,0,94.50,168.90,68.30,50.20,2778,4,151,3.94,3.11,9.50,143,5500,19,27,22018,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,122.0,1,0,0,1,89.50,168.90,65.00,51.60,2756,6,194,3.74,2.90,9.50,207,5900,17,25,32528,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,122.0,1,0,0,1,89.50,168.90,65.00,51.60,2756,6,194,3.74,2.90,9.50,207,5900,17,25,34028,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
